N,BIBID,ITEMID,Code barre,D.CREATION,D.MODIF,Cote,Inventaire,Titre,Auteur,Staff-Note,ISBN-A,Item class,Nb Page,Date edition,Editeur,Prix
0,441520,2039446,'046200019198',8/1/2011,8/1/2011,REI 189(5),inv. 13239 (4),Economie internationale,"Paul R. Krugman, Maurice Obstfeld trad. [de la 3e éd.] par Achille Hannequart et Fabienne Leloup",inv. 13239 (4),2-8041-2094-5,Monographie prêtable (50),XVI-891 p.,1995,De Boeck université,-
1,1520630,1302422,' 046200005914',9/29/2010,9/29/2010,GC 1489,14421,Ordonnancement et gestion de production,Pierre Lamy -,14421,2-86601-106-6,Monographie prêtable (50),215 p.,1991,Hermes,-
2,254245,1462201,' 046200008318',10/30/2010,10/30/2010,MICRO 55 (B2),inv. 3760 B,Les Fondements de l'analyse economique,"par Paul Anthony Samuelson,... traduction annotee par Georges Gaudot",inv. 3760 B,2-04-006153-3,Monographie prêtable (50),"2 vol. (XXII-348, IX-186 p.)",1971,Dunod,57 F
3,1581795,1503699,' 046200012939',11/9/2010,11/9/2010,DT 17 (2),inv. 5409,Sécurité sociale,Jean-Jacques Dupeyroux -,inv. 5409,-,Monographie prêtable (50),260 p.,1972,Sirey,-
4,1464513,1840761,' 046200016395',3/18/2011,3/18/2011,GC 219,inv. 5696,Les deux dimensions du management,- -,inv. 5696,2-7081-0024-6,Monographie prêtable (50),253 p.,1977,Editions d'organisation,-
5,1647571,1993007,' 046200018608',6/14/2011,6/14/2011,GC 347,inv. 4631,Accountancy,William Pickles -,inv. 4631,-,Monographie prêtable (50),3226 p.,191960,Pitman publishing,-
6,1637797,1937343,'!046200018061',5/12/2011,5/12/2011,STA 352 (1),inv. 14029,Probability and statistics for engineers and scientists,Ronald E. Walpole -,inv. 14029,-,Monographie prêtable (50),736 p.,1998,Prentice hall international,-
7,874645,1871344,')$^@)))!^*',4/11/2011,4/11/2011,ECO ENT 107,inv. 5306,Technology and employment in industry,"[International labour organization, World employment programme] � A.S. Bhalla",inv. 5306,92-2-101238-7,Monographie prêtable (50),324 p.,1975,International labour office,-
8,12779,1892804,"',n046200017209'",4/20/2011,4/20/2011,US 121 (B1),inv. 11519,Encyclopédie de gestion,- sous la dir. de Patrick Joffre,inv. 11519,2-7178-1694-1,Monographie prêtable (50),2126p.,1989,Économica,-
9,476750,805899,'-',6/25/2010,6/25/2010,MAR 663 (8 ),16015 (8046200000017 ),Comprendre le comportement du consommateur,Mohamed Kadhem Kilani -,-,-,Monographie prêtable (50),210 p.,2003,Edition L'Expert,-
10,5259,1651631,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
11,1566337,1441966,'-',10/27/2010,10/27/2010,-,-,Microéconomie des marchés,Abdallah Akari -,-,978-9973-51-197-2,Monographie prêtable (50),512 p.,2000,[A. Akari],-
12,5259,1651555,'-',12/16/2010,4/13/2011,-,-,Mathématiques en sciences économiques V II : exercices,Tahar Abdessalem -,-,9973-901-00-2 / 9973-901-01-0,Monographie prêtable (50),337 p,1989,"Centre d'Etudes, de Recherches et de Publications",-
13,1577905,1910682,'-',4/28/2011,4/28/2011,ENT. PRE 046200017562,-,essentials of entrepreneurship and small business management,"Thomas W. Zimmerer, Norman M. Scarborough -",-,9.78013E+12,Monographie prêtable (50),728p.,2008,Pearson Education,-
14,476764,804144,'-',6/25/2010,6/25/2010,MAR 673 (2 ),16498 (2 ),La Distribution,Jacques Dioux et Marc Dupuis -,-,2-7440-7078-5,Monographie prêtable (50),XVI-527 p.,2005,Pearson education,-
15,790189,2848636,'-',12/10/2018,12/10/2018,-,inv. 17267,Tout sur le webmastering,Jean-François Pillou -,inv. 17267,2100496530,Monographie prêtable (50),1 vol. (XIII-242 p.),DL 2005,Dunod,"9,90 EUR"
16,1729122,2843312,'-',11/13/2018,11/13/2018,-,inv. 20524,Mercator 2013,"Lendrevie, Lévy -",inv. 20524,9.7821E+12,Monographie prêtable (50),1 vol. (VII-1130 p.),DL 2012,Dunod,57 EUR
17,1593972,2709776,'-',2/10/2017,2/10/2017,-,-,Real english authentic learning,Sandra Cole -,-,9.78277E+12,Monographie prêtable (50),148 p.,2009,Chenelière Education,-
18,1755516,2650457,'-',10/3/2016,10/3/2016,-,inv.19131,La création d'entreprise pas à pas,Sylvie Rousseau -,inv.19131,9.78231E+12,Monographie prêtable (50),219 p.,impr. 2012,Vuibert pratique,-
19,548958,2504177,'-',9/30/2014,9/30/2014,-,inv. 19484,Comptabilité financière normes IAS-IFRS,"Bruno Colmant, Pierre-Armand Michel, Hubert Tondeur -",inv. 19484,9.78274E+12,Monographie prêtable (50),249 p.,2008,Pearson,-
20,74631,2502219,'-',9/18/2014,9/18/2014,INF,inv. 19298,Le guide du Net-trading,Alpesh Patel trad. de l'anglais par Jean-Luc Rostan,inv. 19298,2842111370,Monographie prêtable (50),XVII-363 p.,2001,Village mondial,39 EUR
21,3210,2466281,'-',4/4/2014,4/4/2014,GC 1260(3),N°d'inv. 14644 (2),Contrôle de gestion,Michel Gervais -,N°d'inv. 14644 (2),2-7178-3474-5,Monographie prêtable (50),719 p.,1997,Economica,198 F
22,870364,2136585,'-',12/12/2011,12/12/2011,GC 758(7),-,"ºaPersonal learning aid for principles of investments / ºcFrederick Amling ; coordinating editor, Roger H. Hermanson",- -,-,870943367,Monographie prêtable (50),210 p. ; ºc26 cm.,-,-,-
23,870366,2136531,'-',12/12/2011,12/12/2011,GC 760 (9),inv. 9501 (4),"ºaNew venture analysis : ºbresearch, planning, and finance / ºcDennis R. Costello",- -,inv. 9501 (4),087094505X,Monographie prêtable (50),190 p. : ºbill. ; ºc24 cm.,-,-,-
24,1099859,2045904,'-',8/25/2011,8/25/2011,-,-,The new encyclopaedia britannica,Jacob E . Safra -,-,-,Monographie prêtable (50),1096 p.,2007,"Encyclopaedia Britanniac , Inc",-
